#jdstart-2463963   jdend-2463963    elevation      azimuth  flag        throw
       12.458333       12.500000      67.4280      192.606     1      40.0000
       12.500000       12.541667      61.7851      213.886     1      40.0000
       12.541667       12.583333      52.8876      224.825     1      40.0000
       12.583333       12.625000      50.0000      229.379     1      40.0000
       12.625000       12.666667      50.0000      219.000     1      40.0000
       12.666667       12.708333      50.0000      233.000     1      40.0000
       12.708333       12.750000      50.0000      58.0452     1      40.0000
       12.750000       12.791667      54.2670      41.8653     1      40.0000
       12.791667       12.833333      61.1566      16.6789     1      40.0000
       12.833333       12.875000      61.3903      345.199     1      40.0000
       12.875000       12.916667      54.8347      319.410     1      40.0000
       12.916667       12.958333      50.0000      302.764     1      40.0000
       12.958333       13.000000      50.0000      285.912     0      90.0000
       13.000000       13.041667      50.0000      281.586     0      90.0000
       13.041667       13.083333      50.0000      277.556     0      90.0000
       13.083333       13.125000      50.0000      273.391     0      90.0000
       13.125000       13.166667      50.0000      267.831     0      90.0000
       13.166667       13.208333      50.0000      245.000     0      90.0000
       13.208333       13.250000      50.0000      96.3206     0      90.0000
       13.250000       13.291667      50.0000      88.6292     0      90.0000
       13.291667       13.333333      50.0000      84.1680     0      90.0000
       13.333333       13.375000      50.0000      80.1547     0      90.0000
       13.375000       13.416667      57.0000      55.0000     1      40.0000
       13.416667       13.458333      50.6667      85.0000     1      40.0000
       13.458333       13.500000      67.2165      194.334     1      40.0000
       13.500000       13.541667      61.2726      214.882     1      40.0000
       13.541667       13.583333      52.2454      225.278     1      40.0000
       13.583333       13.625000      50.0000      229.531     1      40.0000
       13.625000       13.666667      50.0000      219.000     1      40.0000
       13.666667       13.708333      50.0000      232.000     1      40.0000
       13.708333       13.750000      50.0000      57.1918     1      40.0000
       13.750000       13.791667      54.8646      40.5214     1      40.0000
       13.791667       13.833333      61.4020      14.7003     1      40.0000
       13.833333       13.875000      61.1434      343.222     1      40.0000
       13.875000       13.916667      54.2363      318.068     1      40.0000
       13.916667       13.958333      50.0000      301.912     1      40.0000
       13.958333       14.000000      50.0000      304.000     1      40.0000
       14.000000       14.041667      50.0000      281.406     0      90.0000
       14.041667       14.083333      50.0000      277.329     0      90.0000
       14.083333       14.125000      50.0000      273.070     0      90.0000
       14.125000       14.166667      50.0000      267.266     0      90.0000
       14.166667       14.208333      50.0000      245.000     0      90.0000
       14.208333       14.250000      50.0000      97.3229     0      90.0000
       14.250000       14.291667      50.0000      89.0846     0      90.0000
       14.291667       14.333333      50.0000      84.4776     0      90.0000
       14.333333       14.375000      50.0000      80.4019     0      90.0000
       14.375000       14.416667      57.0000      55.0000     1      40.0000
       14.416667       14.458333      50.0000      86.0000     1      40.0000
       14.458333       14.500000      66.9789      196.023     1      40.0000
       14.500000       14.541667      60.7474      215.833     1      40.0000
       14.541667       14.583333      51.5982      225.705     1      40.0000
       14.583333       14.625000      50.0000      229.670     1      40.0000
       14.625000       14.666667      50.0000      219.000     1      40.0000
       14.666667       14.708333      50.0000      67.5160     1      40.0000
       14.708333       14.750000      50.0000      56.3143     1      40.0000
       14.750000       14.791667      55.4457      39.1362     1      40.0000
       14.791667       14.833333      61.6169      12.6917     1      40.0000
       14.833333       14.875000      60.8668      341.278     1      40.0000
       14.875000       14.916667      53.6225      316.766     1      40.0000
       14.916667       14.958333      50.0000      301.083     1      40.0000
       14.958333       15.000000      50.0000      304.000     1      40.0000
       15.000000       15.041667      50.0000      281.219     0      90.0000
       15.041667       15.083333      50.0000      277.092     0      90.0000
       15.083333       15.125000      50.0000      272.738     0      90.0000
       15.125000       15.166667      50.0000      266.683     0      90.0000
       15.166667       15.208333      50.0000      245.000     0      90.0000
       15.208333       15.250000      50.0000      98.3645     0      90.0000
       15.250000       15.291667      50.0000      89.5567     0      90.0000
       15.291667       15.333333      50.0000      84.7977     0      90.0000
       15.333333       15.375000      50.0000      80.6569     0      90.0000
       15.375000       15.416667      56.6667      55.0000     1      40.0000
       15.416667       15.458333      51.0000      85.0000     1      40.0000
       15.458333       15.500000      66.7158      197.670     1      40.0000
       15.500000       15.541667      60.2103      216.741     1      40.0000
       15.541667       15.583333      50.9465      226.108     1      40.0000
       15.583333       15.625000      50.0000      229.794     1      40.0000
       15.625000       15.666667      50.0000      219.000     1      40.0000
       15.666667       15.708333      50.0000      66.9007     1      40.0000
       15.708333       15.750000      50.0000      55.4118     1      40.0000
       15.750000       15.791667      56.0096      37.7088     1      40.0000
       15.791667       15.833333      61.8006      10.6565     1      40.0000
       15.833333       15.875000      60.5614      339.370     1      40.0000
       15.875000       15.916667      52.9938      315.504     1      40.0000
       15.916667       15.958333      50.0000      300.276     1      40.0000
       15.958333       16.000000      50.0000      283.000     1      40.0000
       16.000000       16.041667      50.0000      281.024     0      90.0000
       16.041667       16.083333      50.0000      276.847     0      90.0000
       16.083333       16.125000      50.0000      272.395     0      90.0000
       16.125000       16.166667      50.0000      266.085     0      90.0000
       16.166667       16.208333      50.0000      245.000     0      90.0000
       16.208333       16.250000      50.0000      99.4439     0      90.0000
       16.250000       16.291667      50.0000      90.0450     0      90.0000
       16.291667       16.333333      50.0000      85.1280     0      90.0000
